date,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-07-04 00:00:00+00:00,14.563499,82.0,1.8
2024-07-04 01:00:00+00:00,13.513499,87.0,1.2
2024-07-04 02:00:00+00:00,13.013499,87.0,1.2
2024-07-04 03:00:00+00:00,13.6135,81.0,1.6
2024-07-04 04:00:00+00:00,14.263499,77.0,1.3
2024-07-04 05:00:00+00:00,15.4135,72.0,1.0
2024-07-04 06:00:00+00:00,16.963501,66.0,0.9
2024-07-04 07:00:00+00:00,18.3635,61.0,0.7
2024-07-04 08:00:00+00:00,20.0135,57.0,1.8
2024-07-04 09:00:00+00:00,21.713501,52.0,1.7
2024-07-04 10:00:00+00:00,23.063501,46.0,2.1
2024-07-04 11:00:00+00:00,17.7635,85.0,4.7
2024-07-04 12:00:00+00:00,18.1635,75.0,4.4
2024-07-04 13:00:00+00:00,19.2635,69.0,4.5
2024-07-04 14:00:00+00:00,21.2635,55.0,4.0
2024-07-04 15:00:00+00:00,21.6135,50.0,4.5
2024-07-04 16:00:00+00:00,21.1135,50.0,4.1
2024-07-04 17:00:00+00:00,20.213501,55.0,2.4
2024-07-04 18:00:00+00:00,19.3635,59.0,2.1
2024-07-04 19:00:00+00:00,17.7635,68.0,2.3
2024-07-04 20:00:00+00:00,16.1135,72.0,2.4
2024-07-04 21:00:00+00:00,14.813499,75.0,2.1
2024-07-04 22:00:00+00:00,13.9635,76.0,1.7
2024-07-04 23:00:00+00:00,13.4635,79.0,1.2
2024-07-05 00:00:00+00:00,13.2135,82.0,0.3
2024-07-05 01:00:00+00:00,13.4635,85.0,2.5
2024-07-05 02:00:00+00:00,13.063499,88.0,1.8
2024-07-05 03:00:00+00:00,13.313499,85.0,2.3
2024-07-05 04:00:00+00:00,14.6635,85.0,2.8
2024-07-05 05:00:00+00:00,15.513499,83.0,2.6
2024-07-05 06:00:00+00:00,15.8635,75.0,1.4
2024-07-05 07:00:00+00:00,17.563501,67.0,2.3
2024-07-05 08:00:00+00:00,18.963501,59.0,2.2
2024-07-05 09:00:00+00:00,20.2635,51.0,2.6
2024-07-05 10:00:00+00:00,21.4135,44.0,2.7
2024-07-05 11:00:00+00:00,22.6135,39.0,2.4
2024-07-05 12:00:00+00:00,23.5135,36.0,2.4
2024-07-05 13:00:00+00:00,24.2635,33.0,3.0
2024-07-05 14:00:00+00:00,24.563501,34.0,3.4
2024-07-05 15:00:00+00:00,22.963501,40.0,3.1
2024-07-05 16:00:00+00:00,22.213501,44.0,2.5
2024-07-05 17:00:00+00:00,21.9135,48.0,1.2
2024-07-05 18:00:00+00:00,21.0135,55.0,1.2
2024-07-05 19:00:00+00:00,20.1635,55.0,1.5
2024-07-05 20:00:00+00:00,19.6135,59.0,1.6
2024-07-05 21:00:00+00:00,19.0135,63.0,1.2
2024-07-05 22:00:00+00:00,18.1135,66.0,0.6
2024-07-05 23:00:00+00:00,17.6135,69.0,0.4
2024-07-06 00:00:00+00:00,17.0135,71.0,0.3
2024-07-06 01:00:00+00:00,16.1635,75.0,0.4
2024-07-06 02:00:00+00:00,15.013499,81.0,1.0
2024-07-06 03:00:00+00:00,13.7135,85.0,1.0
2024-07-06 04:00:00+00:00,14.4135,85.0,0.9
2024-07-06 05:00:00+00:00,17.213501,73.0,0.7
2024-07-06 06:00:00+00:00,20.3635,64.0,1.2
2024-07-06 07:00:00+00:00,22.9135,55.0,1.0
2024-07-06 08:00:00+00:00,25.0135,51.0,1.4
2024-07-06 09:00:00+00:00,26.5135,49.0,1.7
2024-07-06 10:00:00+00:00,27.8635,47.0,2.0
2024-07-06 11:00:00+00:00,28.813501,42.0,2.5
